method,=,sample,(Default)
sample
num_samples,=,1
num_warmup,=,0
save_warmup,=,0,(Default)
thin,=,1,(Default)
adapt
engaged,=,0
gamma,=,0.050000000000000003,(Default)
delta,=,0.80000000000000004,(Default)
kappa,=,0.75,(Default)
t0,=,10,(Default)
init_buffer,=,75,(Default)
term_buffer,=,50,(Default)
window,=,25,(Default)
algorithm,=,hmc,(Default)
hmc
engine,=,nuts,(Default)
nuts
max_depth,=,10,(Default)
metric,=,diag_e,(Default)
metric_file,=,(Default)
stepsize,=,0.10000000000000001
stepsize_jitter,=,0,(Default)
id,=,0,(Default)
data
file,=,(Default)
init,=,div.init.R
random
seed,=,48396939
output
file,=,output.csv,(Default)
diagnostic_file,=,(Default)
refresh,=,100,(Default)


Gradient,evaluation,took,0,seconds
1000,transitions,using,10,leapfrog,steps,per,transition,would,take,0,seconds.
Adjust,your,expectations,accordingly!


Iteration:,1,/,1,[100%],(Sampling)
BEGINNING,TRAJECTORY
-1.90881,-0.00748623,0.0345778,-0.00489546,-0.0107493,0.0182831,-0.0442449,-0.00987873,-0.00258897,0.0229952,0.000751085,1.23875e-05,0.0244169,0.019715,-0.0243031,0.0250075,0.00399886,-0.00463347,0.00881436,0.00266457,-0.0273444,-0.00913323,0.0101858,-0.00236316,0.0218515,-0.0329135
-1.92473,-0.0531599,0.245538,-0.0347628,-0.0763312,0.129829,-0.314184,-0.0701491,-0.0183843,0.16329,0.00533347,8.79641e-05,0.173385,0.139996,-0.172577,0.177578,0.028396,-0.0329023,0.0625909,0.0189212,-0.194173,-0.0648553,0.0723293,-0.0167809,0.155168,-0.233719
-1.96419,-0.0738656,0.341174,-0.0483028,-0.106062,0.180397,-0.436558,-0.097472,-0.025545,0.226891,0.00741085,0.000122226,0.240918,0.194525,-0.239795,0.246745,0.0394562,-0.0457178,0.08697,0.026291,-0.269804,-0.0901163,0.100501,-0.023317,0.215605,-0.324752
-1.79137,-0.0570297,0.263412,-0.0372933,-0.0818878,0.13928,-0.337055,-0.0752556,-0.0197226,0.175176,0.00572172,9.43674e-05,0.186007,0.150187,-0.18514,0.190505,0.0304631,-0.0352975,0.0671472,0.0202985,-0.208308,-0.0695764,0.0775945,-0.0180024,0.166463,-0.250733
-1.66775,-0.0196792,0.0908952,-0.0128688,-0.0282569,0.0480612,-0.116307,-0.0259684,-0.00680566,0.0604479,0.00197439,3.25633e-05,0.0641851,0.051825,-0.0638859,0.0657375,0.0105119,-0.0121801,0.0231704,0.0070044,-0.0718807,-0.0240087,0.0267755,-0.00621208,0.0574413,-0.0865201
-1.76643,0.0231997,-0.107156,0.0151709,0.033312,-0.0566591,0.137114,0.030614,0.00802316,-0.0712618,-0.0023276,-3.83887e-05,-0.0756676,-0.0610963,0.0753149,-0.0774977,-0.0123924,0.014359,-0.0273155,-0.00825746,0.0847399,0.0283037,-0.0315655,0.0073234,-0.0677173,0.101998
-2.0751,0.0581392,-0.268536,0.0380189,0.0834809,-0.14199,0.343613,0.0767197,0.0201063,-0.178584,-0.00583304,-9.62034e-05,-0.189625,-0.153109,0.188742,-0.194212,-0.0310557,0.0359842,-0.0684536,-0.0206935,0.212361,0.07093,-0.0791041,0.0183527,-0.169702,0.255611
-2.27399,0.0561911,-0.259538,0.036745,0.0806837,-0.137232,0.332099,0.074149,0.0194326,-0.1726,-0.00563759,-9.29798e-05,-0.183272,-0.147979,0.182417,-0.187704,-0.0300151,0.0347784,-0.0661599,-0.0200001,0.205245,0.0685533,-0.0764536,0.0177377,-0.164016,0.247046
-2.22652,0.00117534,-0.00542874,0.000768591,0.00168765,-0.00287047,0.00694648,0.00155097,0.00040647,-0.00361027,-0.000117921,-1.94485e-06,-0.00383347,-0.00309526,0.00381561,-0.00392619,-0.000627824,0.000727458,-0.00138386,-0.00041834,0.0042931,0.00143392,-0.00159917,0.000371018,-0.0034307,0.00516744
-2.41886,-0.0548499,0.253343,-0.0358679,-0.0787579,0.133956,-0.324172,-0.0723792,-0.0189688,0.168481,0.00550302,9.07605e-05,0.178897,0.144447,-0.178063,0.183224,0.0292987,-0.0339483,0.0645807,0.0195227,-0.200346,-0.066917,0.0746287,-0.0173143,0.160101,-0.241149
