# Sample generated by Stan
# stan_version_major=2
# stan_version_minor=21
# stan_version_patch=0
# init=random
# enable_random_init=1
# seed=4938483
# chain_id=2
# iter=2000
# warmup=1000
# save_warmup=1
# thin=1
# refresh=0
# stepsize=1
# stepsize_jitter=0
# adapt_engaged=1
# adapt_gamma=0.05
# adapt_delta=0.8
# adapt_kappa=0.75
# adapt_t0=10
# max_treedepth=10
# sampler_t=NUTS(diag_e)
# diagnostic_file=output/hmc_diag_2.csv
# append_samples=0
#
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,a,b,sigma,p_a,p_b,p_sigma,g_a,g_b,g_sigma
-0.862777,0.602103,0.206344,3,10,1,3.62351,-0.374394,1.18746,-1.10533,1.07575,-1.73709,-1.1605,0.399756,1.96161,0.0439268
-0.707258,0.99721,0.14165,4,31,0,0.976777,-0.39576,0.913616,-0.834195,0.354244,-0.572388,0.293124,-1.51132,-0.201945,-0.0460962
-1.44284,0.882115,0.214022,3,7,0,2.82153,-0.722694,1.3471,-0.319012,0.849241,1.211,-0.754735,-0.919141,1.15065,0.507947
-2.05118,0.984412,0.256482,2,3,0,2.12485,-1.12002,1.37792,-0.445028,-0.272997,-0.0615389,-0.262708,-2.26532,0.232611,-0.128004
-1.15167,0.921421,0.375255,3,7,0,2.62392,-0.197722,1.18955,-1.19428,-1.28574,0.846519,0.758152,2.67532,4.06259,-0.665675
-1.15167,1.27995e-07,0.483502,1,3,1,2.57003,-0.197722,1.18955,-1.19428,-0.659018,0.717021,-1.37416,2.67532,4.06259,-0.665675
-0.593099,0.996579,0.103054,5,31,0,1.75959,0.653847,-0.100718,-1.56786,-1.45722,0.0360629,-0.456294,-3.37361,-4.12817,-0.661602
-0.283075,1,0.154177,5,31,0,1.03052,0.604431,0.0245374,-1.08869,0.67818,-0.374049,-0.946071,-0.271069,-0.850963,0.0264643
-0.422437,0.949134,0.231307,4,15,0,0.531547,0.8345,-0.0401603,-1.59065,0.189996,-0.237495,0.354565,2.4271,1.55244,-0.0638083
-0.422437,0.0100784,0.313492,1,1,0,0.791662,0.8345,-0.0401603,-1.59065,-0.382887,-0.591831,-0.491511,2.4271,1.55244,-0.0638083
-0.197089,0.999952,0.0701894,4,31,0,0.968927,0.167249,0.563959,-1.51863,-0.553913,1.10591,0.117569,0.230056,0.626766,0.0477774
-0.404538,0.95142,0.105062,1,3,0,0.768933,0.0852692,0.485857,-1.52231,0.611488,0.595622,0.010324,-3.21349,-2.8129,-0.470519
-0.315071,0.801251,0.1429,3,15,0,1.06976,0.505216,0.34786,-0.949352,-0.62873,0.353054,-0.994701,1.33907,1.18171,0.0456318
-0.985894,0.988218,0.145951,4,15,0,1.07819,1.10001,-0.144762,-0.205441,0.299212,-0.289376,-0.106409,1.44243,0.197664,0.585317
-3.90938,0.949009,0.211825,3,7,0,5.46,1.19987,-1.65748,0.580202,-0.491161,-0.661272,-1.5565,0.82829,-2.02906,2.7506
