"data$x_predict","X10.","X20.","X30.","X40.","X50.","X60.","X70.","X80.","X90."
2.24,-10.011521856766,-9.28248386477713,-8.82460455036449,-8.38911929068954,-8.00723772677846,-7.5908689171737,-7.19060788673083,-6.71523133206697,-6.09309454215821
2.28,-10.1896273952509,-9.4592313963711,-8.9960817378868,-8.56172391722919,-8.17640879911662,-7.75563055831001,-7.35429039718862,-6.87541507126199,-6.25285253119133
2.32,-10.3662310898522,-9.62497781851252,-9.16735550585331,-8.73202756850388,-8.3473709077042,-7.92660020399601,-7.51984317859138,-7.0407199784176,-6.41169975105322
2.36,-10.5434800179048,-9.80239459424958,-9.33227399709843,-8.90448571922778,-8.50838933079755,-8.09644452874282,-7.67925444436714,-7.20407088569546,-6.57568643228795
2.4,-10.7139532285107,-9.97473732569899,-9.50339379415135,-9.07663740280642,-8.67240993773713,-8.26390430494746,-7.84881341186603,-7.36678442460635,-6.73169218320813
2.44,-10.8924781296367,-10.1453094961937,-9.67192880881752,-9.24882166237833,-8.8382845135662,-8.42555570627831,-8.01327868720073,-7.52558355285306,-6.89796352860016
2.48,-11.0630059691757,-10.310695123364,-9.84237565905893,-9.41480026108258,-9.00682626931165,-8.5917641216685,-8.17307327704222,-7.6870572378031,-7.04792489110744
2.52,-11.2358514385364,-10.4838593477473,-10.0086688919943,-9.58246377821569,-9.17405477789378,-8.75313885887343,-8.33453453198389,-7.84295681176142,-7.20675949625643
2.56,-11.4100887850285,-10.6611897830321,-10.174468396999,-9.7507049098678,-9.34203587554676,-8.9176776891316,-8.49368004273035,-8.00143654803104,-7.36619597466471
2.6,-11.5792513150557,-10.8322169485868,-10.3384992274319,-9.91568871792332,-9.50422017090816,-9.08276889175288,-8.65209719011282,-8.1657144845961,-7.52829551604835
2.64,-11.7543318059581,-10.99310772429,-10.4985603591416,-10.0800561124235,-9.67212635305936,-9.24649480488287,-8.81385555413044,-8.32367798663534,-7.67966130450915
2.68,-11.9236725518675,-11.1676381275356,-10.669185734543,-10.2474539988526,-9.83541792224302,-9.40987434969187,-8.97580916706753,-8.47872882333144,-7.8351643521608
2.72,-12.0899359607934,-11.3432589573474,-10.8362638173413,-10.4091349535967,-10.0000723695836,-9.56943208887733,-9.13285874557091,-8.6347101615997,-7.9831176532938
2.76,-12.267682912877,-11.5161903796553,-11.0033369238736,-10.5742114019853,-10.1644783781356,-9.72808226372556,-9.29065423199872,-8.78868520151243,-8.13597627410569
2.8,-12.4336146930118,-11.6888906565799,-11.167592977559,-10.7350424343979,-10.3255533121373,-9.88828809416532,-9.44882645674001,-8.9445335175653,-8.28635329443633
2.84,-12.6133358956091,-11.8614863288002,-11.3330089270048,-10.8946131652497,-10.488565501792,-10.0525554312921,-9.60569380057287,-9.09804652416692,-8.43544575310234
2.88,-12.7879934802042,-12.0333420551973,-11.4955886088499,-11.0545209046943,-10.6507294395711,-10.2121642417325,-9.7632411505707,-9.25252405591467,-8.5838306794301
2.92,-12.9631638579956,-12.2007253691921,-11.6619578344708,-11.2115923151195,-10.811602275788,-10.3675716973723,-9.92128061371706,-9.41554923428322,-8.73904251895085
2.96,-13.1290474882582,-12.3675421683162,-11.8285914673571,-11.3733209829689,-10.974147085962,-10.5282898254789,-10.0756241839352,-9.5695515364044,-8.8827994291939
3,-13.2937169626546,-12.5300591432366,-11.994188135241,-11.5367783232298,-11.1346613319539,-10.6829728757681,-10.2344136887913,-9.72039544215087,-9.03447696061312
3.04,-13.4570929692829,-12.6901699126475,-12.1589038650873,-11.6993347614421,-11.2978677897032,-10.8326792870906,-10.3870218804817,-9.86765690527026,-9.18591082955138
3.08,-13.6223819378946,-12.8545360551166,-12.3210182504641,-11.8642714181846,-11.4534627036654,-10.9894883684842,-10.5400530098694,-10.017847135903,-9.33671867326819
3.12,-13.7883432097831,-13.0167372177123,-12.4847967282101,-12.0250082607485,-11.6101036530414,-11.1473708044803,-10.6925078198214,-10.1682135385621,-9.48227265237835
3.16,-13.9505532029971,-13.1792247693149,-12.6456743954598,-12.179493404118,-11.75893654642,-11.3040452834901,-10.8476734199163,-10.3207608557758,-9.62624601365444
3.2,-14.1118692851034,-13.3440430756648,-12.8002813172576,-12.3367066708945,-11.9136052781607,-11.4619970208521,-11.0005328887076,-10.469058881806,-9.77062678008703
3.24,-14.2739060639663,-13.5056053243389,-12.9542030908647,-12.4950411432374,-12.0684099825415,-11.6166028340164,-11.1497637820888,-10.6191242568736,-9.91843838176358
3.28,-14.4365952969653,-13.6710616502472,-13.1128521374274,-12.6530344462996,-12.2240931397497,-11.7683070299631,-11.3004157497376,-10.7651342749477,-10.0670891877869
3.32,-14.5935113600814,-13.8277547363724,-13.2691399198049,-12.8100674519916,-12.3727460056222,-11.9182021698981,-11.4489322533803,-10.910302283317,-10.2066746104604
3.36,-14.7496040691934,-13.9818741222778,-13.4239452120896,-12.9612400184626,-12.5247837911198,-12.0716302022049,-11.599950716791,-11.0582286686743,-10.3519025957757
3.4,-14.9129041368948,-14.1436017730315,-13.5798168840033,-13.1159582353518,-12.6788042286292,-12.2205156040758,-11.7497046265664,-11.2092148436122,-10.5024981052208
3.44,-15.0743947024446,-14.3033786670379,-13.7372414873874,-13.2696317012524,-12.829735446481,-12.3701919570432,-11.8972598341107,-11.3533415130675,-10.6506619041735
