# stan_version_major = 2
# stan_version_minor = 23
# stan_version_patch = 0
# model = funnel_model
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 0
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 0.20000000000000001
#         stepsize_jitter = 0 (Default)
# id = 0 (Default)
# data
#   file =  (Default)
# init = 2 (Default)
# random
#   seed = 48393939
# output
#   file = output.csv (Default)
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,tau,theta.1,theta.2,theta.3,theta.4,theta.5,theta.6,theta.7,theta.8,theta.9,theta.10,theta.11,theta.12,theta.13,theta.14,theta.15,theta.16,theta.17,theta.18,theta.19,theta.20,theta.21,theta.22,theta.23,theta.24,theta.25
# Adaptation terminated
# Step size = 0.2
# Diagonal elements of inverse mass matrix:
# 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1
-22.9268,0.500926,0.2,5,31,0,34.6229,1.34421,0.626393,0.0157263,1.50847,-1.87653,0.796006,0.600969,0.779376,0.548958,0.609695,-2.0909,0.6399,2.21092,2.02054,-0.836677,0.289784,-0.182684,-1.22719,1.70241,0.978204,-3.0497,0.758546,0.161702,-2.22285,-0.151049,3.68419
-26.2995,0.48911,0.2,5,31,0,36.7301,1.66185,-1.0889,-0.851357,-0.998533,-1.57518,3.02303,3.31318,-0.293716,-0.455182,-0.72389,0.248197,1.34417,4.27564,2.2928,-1.12432,-1.13607,-1.41915,0.842998,2.24628,-0.645547,-2.30944,0.276254,1.28863,-1.44076,0.504046,2.28328
-31.5015,0.208615,0.2,5,31,0,44.1028,1.57207,-1.82577,-1.79337,-0.876453,-2.17712,4.04122,3.35567,1.42056,0.291971,-0.350158,-1.55669,-1.88595,4.9928,1.1915,-1.7957,-0.693558,-0.75478,1.50911,3.16759,0.126859,-1.83867,-0.0258407,0.989195,-2.05529,-0.564198,1.28569
-29.2757,0.397788,0.2,4,25,1,39.9243,2.12947,-1.95237,-1.50128,-0.549898,-2.27781,3.9162,3.12149,1.36682,0.339612,-0.419529,-1.67148,-1.90816,5.17339,1.27688,-1.60854,-0.678436,-0.352665,1.19957,3.12846,0.287314,-1.93219,0.164503,0.746386,-2.03557,-0.57525,1.34213
-33.1856,0.477768,0.2,5,63,0,44.2591,1.8876,-4.64117,-0.825912,1.18019,0.518169,-0.11709,1.37283,2.39742,-0.45118,0.4027,-4.64159,-2.12175,3.70222,1.07049,-0.71209,-1.33473,-1.52789,0.644756,4.04547,0.939517,-3.16646,-2.46849,-1.6522,-0.387174,-2.37591,2.58711
-34.1888,0.184844,0.2,3,15,0,51.093,2.01421,-4.36666,-0.23096,0.509146,1.27993,0.474907,1.57894,2.34031,-1.19438,0.329498,-4.68448,-2.39758,2.80569,2.27435,-0.512916,-2.44127,-2.66328,-0.284037,4.85649,0.586661,-1.99136,-2.83934,-2.06408,0.505805,-2.90794,2.32562
-33.6513,0.206341,0.2,4,30,1,45.5289,2.11982,-3.9095,0.971963,-0.0842494,0.414298,0.471394,2.15888,2.89816,-1.14155,-0.145183,-4.94336,-2.35287,2.09609,0.972393,0.0896787,-1.95447,-2.51668,0.723146,5.22112,2.06406,-0.887316,-1.75216,-2.08848,0.911158,-3.75877,2.53433
-35.0435,0.0789212,0.2,4,19,1,49.16,1.88928,-4.17053,1.61346,-0.215544,0.369405,0.0810264,3.082,2.87496,-0.510507,-1.10714,-5.10437,-1.47522,0.905673,1.34348,0.618399,-1.89057,-2.4168,-0.421046,5.08388,1.18903,-0.531532,-0.925455,-1.81704,0.988751,-4.44873,2.64868
-27.8939,0.530484,0.2,4,23,1,49.0204,1.61854,-1.5616,0.710945,2.01944,-0.674569,-0.316386,4.33299,3.24335,-2.56287,-1.64038,-1.41955,-1.5869,0.892342,0.936884,2.69224,0.20976,-1.96912,-1.33467,3.68706,0.992772,-0.315524,0.654696,-1.47117,-0.798131,0.22111,-1.25984
-29.0761,0.0661442,0.2,4,18,1,41.7304,2.56466,-1.64263,0.82947,2.0225,-0.431444,-0.41296,4.08037,3.23086,-2.54012,-1.63955,-1.11985,-1.85761,0.676449,1.27435,2.87878,0.122395,-1.52496,-1.08062,3.42509,1.07781,-0.52708,0.672549,-1.42944,-0.919418,0.213629,-1.06516
-27.6438,0.274499,0.2,4,31,1,35.5428,1.65515,-1.66883,0.731728,2.12768,-0.378894,-0.527478,3.94772,3.43981,-2.68612,-1.8032,-1.2412,-2.11452,0.573293,1.33186,2.83098,-0.248052,-1.59309,-1.18823,3.4798,0.964288,-0.676903,0.706779,-1.58757,-0.870304,-0.055668,-0.892865
-27.6438,0.0031365,0.2,3,12,1,35.3221,1.65515,-1.66883,0.731728,2.12768,-0.378894,-0.527478,3.94772,3.43981,-2.68612,-1.8032,-1.2412,-2.11452,0.573293,1.33186,2.83098,-0.248052,-1.59309,-1.18823,3.4798,0.964288,-0.676903,0.706779,-1.58757,-0.870304,-0.055668,-0.892865
-27.5572,0.61138,0.2,5,31,0,39.9179,1.59406,-2.54254,-2.5155,1.10968,-1.16656,-0.718534,1.68577,1.42446,-1.56185,-0.552402,-0.878385,1.21682,-0.159684,1.9238,1.63203,1.66455,-1.3682,-3.57322,3.77384,2.80752,-0.443722,0.698376,-0.355839,-3.09829,-0.530852,-0.267908
-30.0274,0.104207,0.2,3,13,1,43.0905,1.68225,-2.71712,-2.23551,1.64687,-1.4957,-0.416795,2.57843,1.71199,-2.42032,-0.561532,-0.540666,-0.428752,-0.256843,2.18902,1.31243,2.17515,-2.25888,-3.12939,3.87325,3.56963,-0.0463628,0.72746,-1.56615,-2.70441,-0.43475,-0.488526
-34.4507,0.596437,0.2,5,31,0,39.6506,1.8773,-5.22006,-1.80864,0.0523657,-1.50917,0.748445,2.75682,1.82699,-3.69294,0.306004,-0.257741,0.103771,-0.126276,1.88093,1.6693,2.32039,-3.58931,-4.17626,3.57474,3.63686,1.23845,-1.63545,-0.0658514,-1.77779,0.866885,0.7837
-34.6211,0.584104,0.2,4,31,1,50.1606,2.50866,-4.79167,-0.66938,-1.1728,-2.27988,-2.957,2.59257,2.71212,-2.01738,-0.271226,-0.610605,-0.94312,0.619365,-0.619617,3.33784,2.32656,-0.589309,-2.83726,3.21679,6.41158,1.02232,-1.34718,-2.35669,-1.27754,2.83186,-0.281051
-33.2366,0.513245,0.2,6,63,0,44.561,2.39308,-4.04702,-0.569288,0.784472,-3.01476,-1.68906,2.25927,1.5553,-2.34878,-0.72146,-1.56872,0.208674,-0.103166,0.685436,2.1023,2.77629,0.863298,-3.82866,4.50716,4.12784,-0.0277598,-0.702706,-3.48975,-1.34733,3.16239,-1.41257
-31.6174,0.982352,0.2,6,63,0,46.7571,2.31808,-1.60959,2.86888,2.29156,-2.62599,-0.0921229,0.636054,3.06418,-3.77597,-0.868573,0.322819,-2.48839,-1.91922,0.217737,2.03086,-1.01763,-1.88251,-2.75004,1.64015,2.21095,0.0171547,-1.92302,-5.20497,-0.0614624,1.17629,-2.42933
-30.9763,0.997552,0.2,5,63,0,41.9315,2.06104,1.61781,-3.26508,-1.94434,2.63274,-0.106505,-0.551159,-2.94302,3.63736,0.755494,-0.108739,2.19963,1.9919,0.124971,-2.13713,0.870838,1.83886,2.43985,-1.30654,-2.0734,0.0760322,1.61091,5.20822,0.0753688,-1.00442,2.5872
-33.8539,0.547611,0.2,5,44,1,45.5578,2.29429,-0.676265,2.45121,0.417965,-2.67235,2.9188,1.45577,1.12047,-2.09954,-1.41645,1.57101,-4.43228,-1.78477,-2.69439,0.988875,-0.239955,-1.5283,-1.14866,5.95973,1.9367,3.30117,-1.84145,-2.21421,2.99254,-2.59524,0.117808
-30.9891,1,0.2,6,63,0,43.1315,2.23013,-2.44321,-3.27089,-2.36438,-2.33501,2.78429,-0.750526,-1.19476,-0.540109,0.825246,1.54527,-1.0714,0.966009,0.387472,-0.897416,-1.75023,-3.78202,0.689618,3.03505,3.08813,1.24189,-0.819381,-1.55358,-3.10994,-1.0336,-4.26807
-32.524,0.364797,0.2,5,31,0,42.8573,2.42506,-2.03704,-3.4315,-2.36129,-2.6556,2.93712,-1.5121,-0.950625,-1.0868,0.474294,1.89768,-0.917471,1.4727,0.638405,-0.707905,-1.83316,-3.69934,0.363476,3.59581,3.96583,1.25051,-0.428836,-1.38952,-3.26817,-0.889126,-4.28418
