xs,wide_likelihoods,narrow_small_likelihoods,narrow_large_likelihoods,normal_prior,normal_posterior_wide,normal_posterior_narrow_small,normal_posterior_narrow_large,normal_mixture_prior,normal_mixture_posterior_wide,normal_mixture_posterior_narrow_small,normal_mixture_posterior_narrow_large,laplace_prior,laplace_posterior_wide,laplace_posterior_narrow_small,laplace_posterior_narrow_large,cauchy_prior,cauchy_posterior_wide,cauchy_posterior_narrow_small,cauchy_posterior_narrow_large
-13.95,3.5190668690024e-05,5.85222186711335e-53,2.69649916326788e-128,2.20553578447584e-43,6.34425217731338e-48,8.03027594405556e-95,5.38189123531304e-159,0.0037694337515967,1.16727558573048e-07,1.69215519013575e-54,1.72293275654312e-128,4.3708105410008e-07,1.24737460156215e-11,1.70371951056957e-58,4.04355218820503e-130,0.00162733035714672,4.92086501081843e-08,7.50331944153572e-55,1.42051144703184e-128
-13.925,3.60780012948943e-05,8.60857582611403e-53,4.93642717443911e-128,3.12491775842883e-43,9.25881969521986e-48,1.67365322739674e-94,1.39595636981065e-158,0.00378259078102565,1.20652785474122e-07,2.49783623702027e-54,3.16514796475652e-128,4.48145813663567e-07,1.31736149339125e-11,2.56960273306504e-58,7.58984416944148e-130,0.00163314879282622,5.08677098750279e-08,1.10767917538139e-54,2.60979990171461e-128
-13.9,3.69862631845956e-05,1.26552404660475e-52,9.0313722855728e-128,4.42477958331617e-43,1.3503377766372e-47,3.48383534839701e-94,3.61631210176642e-158,0.00379577001080404,1.24704356170941e-07,3.68479715103203e-54,5.81092885478471e-128,4.59490678948979e-07,1.39122081910664e-11,3.87313326390382e-58,1.42374178696257e-129,0.00163899843563045,5.25809842972232e-08,1.63420249172747e-54,4.79182562606309e-128
-13.875,3.7915909403095e-05,1.85925115623899e-52,1.65128988748827e-127,6.26142606788381e-43,1.96807121571178e-47,7.24280671082846e-94,9.35657916754161e-158,0.00380897135325506,1.28886140010635e-07,5.43236646409813e-54,1.06616138978103e-127,4.71122740866424e-07,1.46916375908505e-11,5.83428258794706e-58,2.66905897686401e-129,0.00164487950874143,5.43501866151599e-08,2.4095119147203e-54,8.7927785113108e-128
-13.85,3.88674039035384e-05,2.72982171850007e-52,3.01732064062995e-127,8.85489546118342e-43,2.86649245453475e-47,1.50388040666593e-93,2.41782809827465e-157,0.00382219471998134,1.33202118186788e-07,8.00369233371341e-54,1.95490742001966e-127,4.83049269833257e-07,1.55141283746394e-11,8.78296287828756e-58,5.00050279894528e-129,0.00165079223733636,5.61770822926596e-08,3.55045187433136e-54,1.61243643673381e-127
-13.825,3.98412196987808e-05,4.00552157293079e-52,5.50995652259763e-127,1.25147502112972e-42,4.17226992746203e-47,3.11872325684551e-93,6.24009032315103e-157,0.0038354400218647,1.37656386756391e-07,1.17846737430174e-53,3.58224504651416e-127,4.95277720318323e-07,1.63820252193198e-11,1.3213662185462e-57,9.3626275024275e-129,0.00165673684860907,5.80634905482287e-08,5.22840876996722e-54,2.95508804949984e-127
-13.8,4.0837839013906e-05,5.87370906627726e-52,1.00554948114184e-126,1.7676224102535e-42,6.06883868337205e-47,6.45947926570555e-93,1.60847184578535e-156,0.00384870716906584,1.42253159731441e-07,1.73408584477283e-53,6.56009665490825e-127,5.07815735501245e-07,1.72977985471246e-11,1.98670743940833e-57,1.75190431127999e-128,0.00166271357179164,6.00112859293713e-08,7.69461333328799e-54,5.41239656548566e-127
-13.775,4.18577534407489e-05,8.60784332778827e-52,1.83394913594361e-126,2.495085189092e-42,8.82166153403639e-47,1.3362118227743e-92,4.14088512852657e-156,0.00386199607102413,1.46996772246823e-07,2.55005456995153e-53,1.2005798144792e-126,5.20671152049661e-07,1.82640511633395e-11,2.98519841520426e-57,3.27605801251967e-128,0.00166872263817637,6.20223999311241e-08,1.13171074425247e-53,9.90695444527389e-127
-13.75,4.2901464094434e-05,1.26067993893876e-51,3.34271763562219e-126,3.51973383799537e-42,1.28146511965262e-46,2.76064296940513e-92,1.06470681603314e-155,0.00387530663645733,1.5189168380615e-07,3.74760842771525e-53,2.19582481051696e-126,5.33852005017391e-07,1.92835252386218e-11,4.48271421883384e-57,6.12239508775414e-128,0.001674764281138,6.40988226599918e-08,1.66347186319186e-53,1.81226667424967e-126
-13.725,4.39694817719431e-05,1.84520191308614e-51,6.08892556168404e-126,4.96206940534714e-42,1.86026489048927e-46,5.69642401700938e-92,2.73416058032914e-155,0.00388863877336145,1.56942481607276e-07,5.50408067982669e-53,4.01356397667841e-126,5.47366532866615e-07,2.03591096535176e-11,6.72724847539657e-57,1.14345660122337e-127,0.0016808387361562,6.62426045445116e-08,2.44358174434148e-53,3.31310679144972e-126
-13.7,4.50623271127258e-05,2.69905364438829e-51,1.10843492900895e-125,6.99108224970659e-42,2.69869864389643e-46,1.17395515185842e-91,7.01253646722382e-155,0.00390199238901052,1.62153883949211e-07,8.07869527737772e-53,7.33142749474411e-126,5.61223182617172e-07,2.14938477236377e-11,1.00893328815988e-56,2.13425636918997e-127,0.00168694624083836,6.84558580936886e-08,3.58731643111508e-53,6.05313231845279e-126
-13.675,4.61805307613654e-05,3.9455513727673e-51,2.01654680588494e-125,9.84361353230817e-42,3.91242110899056e-46,2.41633884229645e-91,1.79631865353293e-154,0.00391536738995644,1.67530743722207e-07,1.18501409132311e-52,1.33835938706738e-125,5.75430615126228e-07,2.26909453248791e-11,1.51222355762009e-56,3.98109051766749e-127,0.00169308703494265,7.07407597045849e-08,5.26312777972957e-53,1.10523928369809e-125
-13.65,4.73246335323128e-05,5.76411257982605e-51,3.66635890830866e-125,1.38513870072259e-41,5.66824217754879e-46,4.9673103647849e-91,4.59566918342438e-154,0.00392876368202884,1.7307805198282e-07,1.73712733314057e-52,2.44164660749126e-125,5.89997710501595e-07,2.39537794390499e-11,2.26515598111124e-56,7.42140417492796e-127,0.0016992613604014,7.30995515203803e-08,7.71701890437069e-53,2.01680486693093e-125
-13.625,4.84951865767e-05,8.41561332310818e-51,6.66177887016147e-125,1.94787255496564e-41,8.20659124560059e-46,1.01986312441271e-90,1.17427893298322e-153,0.00394218117033496,1.78800941615784e-07,2.54487024883886e-52,4.4516264591522e-125,6.04933573652081e-07,2.5285907141269e-11,3.39085167837125e-56,1.38260677981172e-126,0.00170546946134471,7.55345433402454e-08,1.13080220655191e-52,3.67792510885863e-125
