xs,wide_likelihoods,normal_mixture_prior,normal_mixture_posterior,laplace_prior,laplace_posterior,cauchy_prior,cauchy_posterior
20.875,0.0239004444237605,0.00112874812730876,0.0172711108520364,4.29608330958705e-10,7.00901252895319e-07,0.000728788778154853,0.017924655844548
20.9,0.0238912262735024,0.00112286930826918,0.0171745317426354,4.19001263473973e-10,6.83332283531614e-07,0.000727050287073823,0.0178750005678472
20.925,0.0238819950938635,0.00111701412631523,0.0170783740981119,4.08656085418561e-10,6.66203239788478e-07,0.000725318004489041,0.0178255211299536
20.95,0.0238727509026967,0.0011111825311905,0.0169826368905264,3.98566330719419e-10,6.49503117572538e-07,0.000723591900895745,0.0177762167120756
20.975,0.023863493717875,0.00110537447245965,0.0168873190889637,3.88725692951413e-10,6.33221187750625e-07,0.000721871946964109,0.0177270865002305
21,0.0238542235572918,0.00109958989951068,0.016792419659578,3.79128021395595e-10,6.17346989286596e-07,0.000720158113537988,0.017678129685211
21.025,0.0238449404388605,0.00109382876155708,0.0166979375656384,3.69767317194813e-10,6.018703225493e-07,0.000718450371633695,0.0176293454625512
21.05,0.0238356443805143,0.00108809100764003,0.0166038717675733,3.60637729604226e-10,5.86781242787411e-07,0.000716748692438774,0.0175807330324935
21.075,0.0238263354002068,0.00108237658663054,0.0165102212230155,3.51733552334395e-10,5.72070053766947e-07,0.000715053047310793,0.0175322915999551
21.1,0.0238170135159111,0.00107668544723164,0.0164169848868471,3.43049219984672e-10,5.5772730156747e-07,0.000713363407776138,0.0174840203744951
21.125,0.0238076787456203,0.00107101753798056,0.0163241617112431,3.34579304564639e-10,5.43743768532966e-07,0.000711679745528825,0.0174359185702823
21.15,0.0237983311073475,0.00106537280725084,0.0162317506457165,3.26318512101438e-10,5.30110467373589e-07,0.000710002032429313,0.0173879854060627
21.175,0.0237889706191251,0.00105975120325452,0.0161397506371622,3.18261679330871e-10,5.16818635414499e-07,0.000708330240503339,0.017340220105127
21.2,0.0237795972990056,0.00105415267404426,0.016048160629901,3.1040377047018e-10,5.03859728988105e-07,0.000706664341940748,0.0172926218952796
21.225,0.0237702111650609,0.00104857716751547,0.0159569795657234,3.02739874070535e-10,4.91225417966193e-07,0.000705004309094346,0.0172451900088063
21.25,0.0237608122353825,0.00104302463140847,0.0158662063839331,2.95265199947202e-10,4.78907580428395e-07,0.000703350114478753,0.0171979236824435
21.275,0.0237514005280815,0.00103749501331058,0.0157758400213909,2.87975076185533e-10,4.6689829746365e-07,0.000701701730769267,0.0171508221573468
21.3,0.0237419760612882,0.00103198826065826,0.0156858794125577,2.80864946220865e-10,4.5518984810132e-07,0.000700059130800745,0.0171038846790605
21.325,0.0237325388531527,0.00102650432073922,0.0155963234895379,2.73930365990514e-10,4.43774704368725e-07,0.00069842228756648,0.0170571104974869
21.35,0.0237230889218439,0.00102104314069449,0.0155071711821224,2.67167001156097e-10,4.32645526471977e-07,0.000696791174217099,0.0170104988668562
21.375,0.0237136262855504,0.00101560466752058,0.0154184214178311,2.60570624394427e-10,4.21795158096996e-07,0.000695165764059464,0.0169640490456962
21.4,0.0237041509624799,0.00101018884807151,0.0153300731219562,2.54137112755296e-10,4.11216621827758e-07,0.000693546030555584,0.0169177602968027
21.425,0.0236946629708592,0.00100479562906091,0.0152421252176041,2.47862445084502e-10,4.00903114678836e-07,0.00069193194732153,0.0168716318872097
21.45,0.0236851623289343,0.000999424957064127,0.0151545766257383,2.41742699510493e-10,3.90848003739358e-07,0.000690323488126372,0.0168256630881606
21.475,0.02367564905497,0.000994076778520266,0.0150674262652211,2.35774050993071e-10,3.81044821925671e-07,0.00068872062689111,0.0167798531750784
21.5,0.0236661231672504,0.000988751039734256,0.014980673052856,2.29952768932616e-10,3.71487263839928e-07,0.000687123337687622,0.0167342014275374
21.525,0.0236565846840783,0.000983447686878914,0.0148943159034293,2.24275214838341e-10,3.6216918173201e-07,0.000685531594737617,0.0166887071292345
21.55,0.0236470336237754,0.000978166665996999,0.0148083537297518,2.18737840054118e-10,3.530845815622e-07,0.000683945372411602,0.0166433695679606
21.575,0.0236374700046824,0.000972907923003242,0.0147227854427005,2.13337183540449e-10,3.44227619162062e-07,0.00068236464522785,0.0165981880355725
21.6,0.0236278938451584,0.00096767140368639,0.0146376099512595,2.08069869711207e-10,3.35592596491138e-07,0.000680789387851379,0.0165531618279651
21.625,0.0236183051635815,0.000962457053711236,0.0145528261625618,2.02932606323785e-10,3.27173957987011e-07,0.000679219575092942,0.0165082902450437
21.65,0.0236087039783483,0.000957264818620636,0.0144684329819295,1.9792218242133e-10,3.18966287006459e-07,0.000677655181908022,0.0164635725906963
21.675,0.0235990903078739,0.000952094643837528,0.0143844293129154,1.93035466325804e-10,3.10964302355401e-07,0.000676096183395835,0.0164190081727665
21.7,0.0235894641705921,0.000946946474666936,0.014300814057343,1.88269403680567e-10,3.03162854905427e-07,0.000674542554798344,0.0163745963030266
21.725,0.0235798255849551,0.000941820256297977,0.0142175861153473,1.83621015541321e-10,2.9555692429476e-07,0.000672994271499278,0.0163303362971502
21.75,0.0235701745694333,0.000936715933805845,0.014134744385415,1.79087396514159e-10,2.88141615711538e-07,0.000671451309023158,0.0162862274746864
21.775,0.0235605111425156,0.000931633452153802,0.0140522877644244,1.74665712939607e-10,2.80912156757367e-07,0.000669913643034334,0.0162422691590327
21.8,0.0235508353227092,0.000926572756195162,0.0139702151476858,1.70353201121495e-10,2.73863894389155e-07,0.000668381249336029,0.016198460677409
21.825,0.0235411471285395,0.000921533790675251,0.0138885254289808,1.66147165599549e-10,2.66992291937245e-07,0.000666854103869389,0.0161548013608319
21.85,0.02353144657855,0.000916516500233382,0.0138072175006018,1.62044977464654e-10,2.60292926197983e-07,0.000665332182712541,0.0161112905440885
21.875,0.0235217336913024,0.000911520829404803,0.013726290253392,1.58044072715685e-10,2.5376148459884e-07,0.000663815462079657,0.0160679275657111
21.9,0.0235120084853764,0.000906546722622655,0.013645742576784,1.54141950656933e-10,2.47393762434283e-07,0.000662303918320032,0.0160247117679515
21.925,0.0235022709793695,0.000901594124219907,0.013565573358839,1.5033617233509e-10,2.41185660170645e-07,0.00066079752791716,0.0159816424967565
21.95,0.0234925211918975,0.000896662978431293,0.0134857814862857,1.46624359014812e-10,2.35133180818251e-07,0.000659296267487825,0.0159387191017419
21.975,0.0234827591415937,0.00089175322939524,0.013406365844559,1.43004190691947e-10,2.29232427369142e-07,0.000657800113781194,0.0158959409361688
22,0.0234729848471095,0.000886864821155786,0.0133273253178385,1.39473404643446e-10,2.23479600298759e-07,0.000656309043677919,0.0158533073569182
22.025,0.0234631983271137,0.000881997697664492,0.0132486587890864,1.36029794013091e-10,2.17870995129973e-07,0.00065482303418925,0.015810817724467
22.05,0.0234533996002933,0.000877151802782347,0.0131703651400862,1.3267120643214e-10,2.12403000057946e-07,0.000653342062456146,0.0157684714028636
22.075,0.0234435886853523,0.000872327080281663,0.0130924432514803,1.29395542674023e-10,2.07072093634252e-07,0.000651866105748404,0.0157262677597042
22.1,0.0234337656010128,0.00086752347384797,0.0130148920028078,1.2620075534226e-10,2.01874842508837e-07,0.000650395141463784,0.0156842061661085
22.125,0.0234239303660142,0.000862740927081888,0.012937710272542,1.23084847590769e-10,1.9680789922833e-07,0.00064892914712715,0.0156422859966966
22.15,0.0234140829991132,0.000857979383501005,0.0128608969381278,1.20045871875774e-10,1.91868000089328e-07,0.000647468100389609,0.0156005066295652
22.175,0.0234042235190842,0.000853238786541747,0.012784450876019,1.17081928738525e-10,1.87051963045272e-07,0.00064601197902767,0.0155588674462642
22.2,0.0233943519447187,0.00084851907956123,0.0127083709617153,1.14191165618079e-10,1.82356685665577e-07,0.000644560760942391,0.0155173678317742
22.225,0.0233844682948256,0.000843820205839112,0.0126326560697989,1.11371775693381e-10,1.77779143145723e-07,0.000643114424158552,0.0154760071744828
22.25,0.0233745725882309,0.000839142108579438,0.0125573050739714,1.08621996753951e-10,1.73316386367019e-07,0.000641672946823819,0.0154347848661626
22.275,0.0233646648437778,0.000834484730912473,0.0124823168470898,1.05940110098437e-10,1.68965540004819e-07,0.000640236307207922,0.0153937003019483
22.3,0.0233547450803267,0.000829848015896528,0.0124076902612034,1.03324439460379e-10,1.64723800683971e-07,0.000638804483701842,0.0153527528803142
22.325,0.0233448133167549,0.000825231906519778,0.0123334241875893,1.00773349960479e-10,1.6058843518032e-07,0.000637377454816995,0.0153119420030523
22.35,0.0233348695719566,0.000820636345702078,0.0122595174967887,9.82852470847551e-11,1.56556778667129e-07,0.000635955199184434,0.0152712670752501
22.375,0.0233249138648431,0.000816061276296762,0.0121859690586422,9.58585756879156e-11,1.52626233005272e-07,0.000634537695554045,0.0152307275052688
22.4,0.0233149462143425,0.000811506641092436,0.0121127777423255,9.3491819021342e-11,1.48794265076141e-07,0.00063312492279376,0.0151903227047213
22.425,0.0233049666393997,0.000806972382814772,0.0120399424163848,9.1183497785074e-11,1.45058405156176e-07,0.00063171685988877,0.0151500520884514
22.45,0.0232949751589762,0.00080245844412828,0.0119674619487716,8.8932169203196e-11,1.4141624533198e-07,0.000630313485940744,0.0151099150745117
22.475,0.0232849717920504,0.000797964767638085,0.011895335206878,8.6736426122058e-11,1.37865437955033e-07,0.00062891478016706,0.0150699110841428
22.5,0.0232749565576172,0.000793491295891685,0.0118235610575712,8.45948961307565e-11,1.34403694134974e-07,0.000627520721900031,0.0150300395417521
22.525,0.0232649294746879,0.00078903797138071,0.0117521383672281,8.25062407033339e-11,1.31028782270539e-07,0.00062613129058615,0.014990299874893
22.55,0.0232548905622907,0.000784604736542666,0.0116810660017697,8.04691543621571e-11,1.27738526617167e-07,0.000624746465785331,0.0149506915142442
22.575,0.0232448398394697,0.000780191533762675,0.011610342826695,7.84823638619496e-11,1.24530805890397e-07,0.00062336622717016,0.0149112138935894
22.6,0.0232347773252859,0.000775798305375206,0.0115399677071156,7.65446273939738e-11,1.21403551904138e-07,0.00062199055452515,0.0148718664497963
22.625,0.0232247030388162,0.000771424993665797,0.0114699395077886,7.46547338098582e-11,1.18354748242962e-07,0.000620619427746005,0.0148326486227969
22.65,0.0232146169991541,0.00076707154087277,0.011400257093151,7.28115018645912e-11,1.15382428967546e-07,0.000619252826838885,0.0147935598555671
22.675,0.0232045192254089,0.000762737889188935,0.0113309193273525,7.10137794782054e-11,1.1248467735247e-07,0.000617890731919681,0.0147545995941072
22.7,0.0231944097367065,0.00075842398076329,0.0112619250742892,6.92604430156877e-11,1.09659624655524e-07,0.000616533123213292,0.0147157672874216
22.725,0.0231842885521885,0.000754129757702712,0.0111932731976361,6.75503965846739e-11,1.06905448917775e-07,0.000615179981052911,0.0146770623874994
22.75,0.0231741556910127,0.000749855162073633,0.0111249625608802,6.58825713504773e-11,1.04220373793599e-07,0.000613831285879312,0.0146384843492952
22.775,0.0231640111723527,0.000745600135903718,0.0110569920273532,6.42559248680343e-11,1.01602667409944e-07,0.000612487018240147,0.0146000326307092
22.8,0.0231538550153983,0.000741364621183531,0.0109893604602637,6.26694404303417e-11,9.90506412540941e-08,0.000611147158789246,0.0145617066925685
22.825,0.0231436872393548,0.000737148559868188,0.0109220667227295,6.11221264329813e-11,9.6562649089215e-08,0.000609811688285922,0.0145235059986079
22.85,0.0231335078634434,0.000732951893879006,0.0108551096778099,5.96130157543357e-11,9.41370858969984e-08,0.000608480587594284,0.0144854300154511
22.875,0.0231233169069011,0.000728774565105144,0.010788488188537,5.81411651511048e-11,9.17723868467199e-08,0.00060715383768255,0.0144474782125917
22.9,0.0231131143889804,0.000724616515405235,0.010722201117948,5.67056546687487e-11,8.94670262900575e-08,0.000605831419622372,0.0144096500623748
22.925,0.0231029003289494,0.000720477686609009,0.0106562473291159,5.53055870664864e-11,8.72195167810254e-08,0.000604513314588161,0.0143719450399786
22.95,0.023092674746092,0.000716358020518906,0.0105906256851817,5.394008725649e-11,8.50284081203934e-08,0.000603199503856417,0.0143343626233959
22.975,0.0230824376597073,0.000712257458911687,0.0105253350493845,5.2608301756928e-11,8.28922864239875e-08,0.000601889968805068,0.0142969022934161
23,0.0230721890891098,0.00070817594354003,0.0104603742850931,5.13093981585095e-11,8.08097732142677e-08,0.000600584690912813,0.0142595635336069
23.025,0.0230619290536295,0.000704113416134114,0.0103957422558363,5.00425646042024e-11,7.87795245346085e-08,0.000599283651758464,0.0142223458302966
