xs,normal_prior,normal_mixture_prior,laplace_prior,cauchy_prior,horseshoe_prior
-8.34999999999999,2.88975855803002e-16,0.00703800529795619,0.000118198259214321,0.0045008291022488,0.0035483906413006
-8.32499999999999,3.55946571911308e-16,0.00705269043960346,0.00012119046239211,0.00452751662735082,0.00360598271783477
-8.3,4.38163943550945e-16,0.00706736205136484,0.000124258413553976,0.00455444106715969,0.00366129939176609
-8.27499999999999,5.39035073752108e-16,0.00708201992150899,0.00012740403026927,0.00458160522030268,0.00371760128536293
-8.25,6.62713745596875e-16,0.00709666383812268,0.000130629278650834,0.00460901192664312,0.00376791239771484
-8.22499999999999,8.14260745346963e-16,0.00711129358911573,0.0001339361745839,0.00463666406800799,0.00379352065656199
-8.19999999999999,9.9983787484981e-16,0.00712590896222594,0.000137326784986073,0.00466456456893012,0.00377898361504531
-8.175,1.22694257280802e-15,0.00714050974502406,0.000140803229099226,0.0046927163974059,0.00372809300866326
-8.14999999999999,1.5046914517083e-15,0.00715509572491881,0.000144367679814103,0.0047211225656686,0.00366414936259632
-8.125,1.84416271541667e-15,0.00716966668916174,0.000148022365028428,0.00474978613097752,0.00361478471180592
-8.09999999999999,2.2588094031544e-15,0.0071842224248524,0.000151769569039434,0.00477871019642383,0.00359593119596792
-8.07499999999999,2.76495776973595e-15,0.00719876271894322,0.000155611633971609,0.00480789791175284,0.00360899349809411
-8.05,3.38240793177875e-15,0.0072132873582446,0.000159550961240602,0.00483735247420373,0.00365096018515601
-8.02499999999999,4.13515727039855e-15,0.00722779612942998,0.000163590013054197,0.00486707712936675,0.00372291941766762
-8,5.05227108353689e-15,0.00724228881904086,0.000167731313951256,0.00489707517205832,0.00382392344990935
-7.97499999999999,6.16892974461127e-15,0.0072567652134919,0.000171977452379654,0.00492734994721477,0.00393661776338555
-7.94999999999999,7.52768728903168e-15,0.00727122509907601,0.00017633108231413,0.00495790485080474,0.00402799486340097
-7.925,9.17998308195156e-15,0.00728566826196944,0.000180794924915114,0.00498874333076106,0.00407449167097777
-7.89999999999999,1.11879562143526e-14,0.00730009448823693,0.000185371770229546,0.00501986888793237,0.00408455936131968
-7.875,1.36266217597701e-14,0.00731450356383681,0.000190064478934732,0.00505128507705495,0.00408573747361259
-7.84999999999999,1.65864792706239e-14,0.00732889527462619,0.000194875984126378,0.00508299550774548,0.00408705543418762
-7.82499999999999,2.01766372182503e-14,0.00734326940636607,0.000199809293151856,0.00511500384551483,0.00406475203990441
-7.8,2.45285528569648e-14,0.00735762574472653,0.000204867489489894,0.00514731381280386,0.00399292650153521
-7.77499999999999,2.98005056564927e-14,0.00737196407529196,0.000210053734677869,0.00517992919004146,0.00388328926284057
-7.75,3.61829445111252e-14,0.00738628418356621,0.000215371270287844,0.00521285381672533,0.00378771589616716
-7.72499999999999,4.39048749979933e-14,0.00740058585497784,0.000220823419952681,0.00524609159252651,0.00376254802279678
-7.69999999999999,5.32414837225344e-14,0.00741486887488533,0.000226413591443401,0.00527964647841751,0.00383059347157662
-7.675,6.45232330781327e-14,0.00742913302858231,0.000232145278799158,0.00531352249782539,0.00396943827666589
-7.64999999999999,7.81467025177052e-14,0.00744337810130285,0.000238022064511137,0.00534772373780993,0.00412756586287384
-7.625,9.45875028078652e-14,0.00745760387822671,0.000244047621761707,0.00538225435026753,0.00425227776981184
-7.59999999999999,1.14415649018019e-13,0.00747181014448463,0.000250225716720307,0.00541711855316186,0.00431212431612828
-7.57499999999999,1.3831384770902e-13,0.00748599668516362,0.000256560210897394,0.00545232063178138,0.0043064798248374
-7.55,1.67099235703841e-13,0.00750016328531224,0.000263055063558033,0.00548786494002484,0.004262826496438
-7.52499999999999,2.01749204008247e-13,0.00751430972994602,0.000269714334196567,0.00552375590171545,0.00422275613778363
-7.5,2.43432053302901e-13,0.00752843580405268,0.000276542185073917,0.00555999801194394,0.00422303084708592
-7.47499999999999,2.93543359738049e-13,0.00754254129259759,0.000283542883819154,0.00559659583844206,0.00428321187264822
-7.44999999999999,3.53749084761019e-13,0.00755662598052904,0.000290720806096881,0.00563355402298645,0.00439890305333343
-7.425,4.26036644151977e-13,0.00757068965278372,0.00029808043834218,0.0056708772828343,0.00453471290860155
-7.39999999999999,5.12775363679699e-13,0.00758473209429209,0.000305626380564789,0.00570857041219138,0.00463452420951986
-7.375,6.16787996853806e-13,0.00759875308998376,0.000313363349224229,0.005746638283713,0.00466787357542407
-7.34999999999999,7.41435269970465e-13,0.00761275242479302,0.000321296180177781,0.00578508585003937,0.00466126043369879
-7.32499999999999,8.90715757752038e-13,0.00762672988366421,0.000329429831703022,0.00582391814536549,0.00467266153524311
-7.3,1.06938378715419e-12,0.00764068525155729,0.000337769387596923,0.00586314028704717,0.00473304165811604
-7.27499999999999,1.28308852632103e-12,0.00765461831345329,0.000346320060353404,0.00590275747724373,0.00482477517005588
-7.25,1.53853795056128e-12,0.0076685288543599,0.000355087194421275,0.00594277500459819,0.00491563737201692
-7.22499999999999,1.84369199952035e-12,0.00768241665931701,0.000364076269544732,0.00598319824595653,0.00499445045598845
-7.19999999999999,2.20798996313733e-12,0.00769628151340232,0.000373292904188344,0.00602403266812626,0.00506450724421362
-7.175,2.64261797430203e-12,0.00771012320173699,0.000382742859048783,0.00606528382967602,0.00511579641554709
-7.14999999999999,3.16082346146926e-12,0.00772394150949134,0.000392432040655469,0.00610695738277695,0.00512170034243533
-7.125,3.77828454566409e-12,0.00773773622189056,0.000402366505062307,0.00614905907508681,0.00506830636000907
-7.09999999999999,4.51354367720569e-12,0.00775150712422056,0.000412552461632954,0.00619159475167849,0.00497943627380068
-7.07499999999999,5.38851632539726e-12,0.00776525400183376,0.000422996276921845,0.00623457035701339,0.00490411117860097
-7.05,6.42908729075378e-12,0.00777897664015504,0.000433704478653502,0.00627799193696151,0.00488057176924287
-7.02499999999999,7.66580923983235e-12,0.00779267482468782,0.000444683759802603,0.00632186564086923,0.00491650687773278
-7,9.1347204083646e-12,0.00780634834102007,0.000455940982777258,0.00636619772367581,0.00499569222789096
-6.97499999999999,1.08783011259522e-11,0.00781999697483065,0.000467483183708294,0.00641099454808054,0.00508916270285828
-6.94999999999999,1.29465919383202e-11,0.00783362051189555,0.000479317576847015,0.00645626258676115,0.00516148350105029
-6.925,1.53984997019721e-11,0.00784721873809445,0.000491451559074371,0.0065020084246456,0.00518504428946155
-6.89999999999999,1.83033221701568e-11,0.00786079143941743,0.00050389271452426,0.00654823876123825,0.00516141039078357
-6.875,2.17425263571897e-11,0.00787433840197173,0.000516648819323819,0.00659496041300181,0.00512393168354769
-6.84999999999999,2.58118214499876e-11,0.00788785941198895,0.000529727846453808,0.0066421803157972,0.0051107093029198
-6.82499999999999,3.06235733326655e-11,0.00790135425583236,0.000543137970731935,0.00668990552738203,0.00513633239074928
-6.8,3.63096150179187e-11,0.00791482272000453,0.000556887573922403,0.00673814322997017,0.00519201742905094
-6.77499999999999,4.30245155681751e-11,0.00792826459115543,0.000570985249974809,0.00678690073285359,0.00526431342330004
-6.75,5.09493795884368e-11,0.00794167965609074,0.000585439810395587,0.00683618547508812,0.00534669377344716
-6.72499999999999,6.02962602491165e-11,0.00795506770178081,0.000600260289755554,0.00688600502824551,0.00544036084243031
-6.69999999999999,7.13132812399663e-11,0.00796842851537,0.000615455951336748,0.00693636709923277,0.00554997820217268
-6.675,8.42905772801223e-11,0.0079817618841868,0.000631036292922309,0.00698727953318149,0.00567222092415634
-6.64999999999999,9.95671790549757e-11,0.0079950675957545,0.00064701105273293,0.00703875031640868,0.00578558046873502
-6.625,1.17538986990503e-10,0.0080083454378028,0.000663390215513496,0.00709078757945096,0.00585993708915987
-6.59999999999999,1.38667999416537e-10,0.00802159519828031,0.000680184018773951,0.00714339960017485,0.00588065077214828
-6.57499999999999,1.63492984755721e-10,0.00803481666536816,0.000697402959188008,0.00719659480696445,0.00585862506522802
-6.55,1.92641814793595e-10,0.0080480096274948,0.000715057799153939,0.00725038178198943,0.00581657708536445
-6.52499999999999,2.26845707270493e-10,0.00806117387335239,0.000733159573521458,0.00730476926455539,0.00577328625779395
-6.5,2.66955661476285e-10,0.0080743091919146,0.000751719596488786,0.00735976615453851,0.00574362898749598
-6.47499999999999,3.13961410771535e-10,0.00808741537245657,0.000770749468674479,0.00741538151590784,0.00574423543035286
-6.44999999999999,3.69013261612484e-10,0.00810049220457678,0.000790261084368118,0.00747162458033664,0.00578821586172025
-6.425,4.33447240410021e-10,0.00811353947822159,0.000810266638964656,0.00752850475090638,0.0058728687409434
-6.39999999999999,5.08814028164533e-10,0.00812655698371258,0.000830778636586974,0.00758603160590542,0.0059777953663164
-6.375,5.96912229143432e-10,0.00813954451177704,0.000851809897901287,0.00764421490272518,0.00608025365179821
-6.34999999999999,6.99826594858005e-10,0.00815250185358237,0.000873373568130564,0.00770306458185713,0.00617352492044174
-6.32499999999999,8.19971909302995e-10,0.0081654288007745,0.000895483125270645,0.0077625907709928,0.00626621161692796
-6.3,9.60143337031251e-10,0.00817832514552137,0.000918152388514456,0.00782280378923055,0.00636009328181597
-6.27499999999999,1.12357414344559e-09,0.0081911906805618,0.000941395526889497,0.00788371415139187,0.00643262290378163
-6.25,1.31400181815588e-09,0.00820402519926074,0.000965227068113855,0.00794533257245031,0.0064522583535124
