likelihood_peaks,unif_posterior_means,unif_posterior_sds,normal_means,normal_sds,normal_mixture_means,normal_mixture_sds,laplace_means,laplace_sds,cauchy_means,cauchy_sds
1.92384769539078,1.92384769539078,1,0.961923847695391,0.707106781186548,1.0600642657377,0.796187955170679,1.10330291387235,0.866152755835893,1.2172041643567,0.917619346036062
1.93987975951904,1.93987975951904,1,0.969939879759519,0.707106781186547,1.07025200607174,0.798134091299405,1.11535954330883,0.868241248629445,1.23074199017469,0.920228277788389
1.95591182364729,1.95591182364729,1,0.977955911823647,0.707106781186548,1.08049010469145,0.800123580708925,1.1274741917403,0.870320809458362,1.24435675918551,0.922834605688105
1.97194388777555,1.97194388777555,1,0.985971943887776,0.707106781186548,1.09077980918798,0.802157187659634,1.13964674233248,0.87239097087463,1.25804860204279,0.925437639215962
1.98797595190381,1.98797595190381,1,0.993987975951904,0.707106781186548,1.10112239532515,0.804235678429719,1.15187706340902,0.87445127107778,1.27181762809359,0.928036684622472
2.00400801603206,2.00400801603206,1,1.00200400801603,0.707106781186547,1.11151916747184,0.80635982054306,1.16416500849938,0.876501254187561,1.28566392505815,0.930631045324408
2.02004008016032,2.02004008016032,1,1.01002004008016,0.707106781186548,1.12197145902531,0.808530381949688,1.17651041639784,0.878540470514732,1.29958755872146,0.933220022313799
2.03607214428858,2.03607214428858,1,1.01803607214429,0.707106781186547,1.13248063282421,0.810748130157368,1.18891311123352,0.8805684768296,1.31358857263715,0.935802914579149
2.05210420841683,2.05210420841683,1,1.02605210420842,0.707106781186548,1.14304808154964,0.813013831312912,1.20137290255158,0.882584836627914,1.32766698784447,0.938379019538549
2.06813627254509,2.06813627254509,1,1.03406813627255,0.707106781186548,1.153675228113,0.815328249231817,1.21388958540565,0.884589120393749,1.3418228025992,0.940947633484346
2.08416833667335,2.08416833667335,1,1.04208416833667,0.707106781186548,1.16436352602867,0.817692144374925,1.22646294046156,0.886580905858971,1.35605599211911,0.943508052038981
2.1002004008016,2.1002004008016,1,1.0501002004008,0.707106781186548,1.17511445977013,0.82010627277077,1.23909273411223,0.888559778258913,1.37036650834467,0.94605957062157
2.11623246492986,2.11623246492986,1,1.05811623246493,0.707106781186547,1.18592954510744,0.822571384882391,1.251778718604,0.890525330583866,1.38475427971582,0.948601484924792
2.13226452905812,2.13226452905812,1,1.06613226452906,0.707106781186547,1.19681032942428,0.825088224417408,1.26452063217404,0.892477163825993,1.39921921096541,0.951133091401582
2.14829659318637,2.14829659318637,1,1.07414829659319,0.707106781186548,1.20775839201253,0.827657527080246,1.27731819919908,0.894414887221285,1.41376118293001,0.953653687761117
