xs,normal_cdf,cauchy_cdf,containment_like,contraction_like,compromise_like,normal_prior,normal_post_containment,normal_post_contraction,normal_post_compromise,cauchy_prior,cauchy_post_containment,cauchy_post_contraction,cauchy_post_compromise
4.2,0.982135579437184,0.988922980681023,0.0724387792111486,2.09482776218908e-113,1.07859863475032e-127,0.0219917979902135,0.0230356976630904,3.07016590061478e-114,4.94730799978879e-123,0.00263525681151259,0.00264717525808395,2.46001376565242e-114,6.4061194088379e-127
4.225,0.982678207018234,0.988988472738604,0.0722786855810292,2.13199130771018e-114,1.20692710308241e-126,0.0214203507596112,0.0223875378938131,3.04344034332671e-115,5.39207548106653e-122,0.00260419980444836,0.002610196337071,2.4741498721583e-115,7.08382071017466e-126
4.25,0.983206693551551,0.989053195217701,0.0721171428154065,2.14822414600824e-115,1.33708577671778e-125,0.0208604926281693,0.0217536723077472,2.9864616303675e-116,5.81744350093338e-121,0.00257368838472897,0.00257384922524281,2.46377944814385e-116,7.75581516177499e-125
4.275,0.983721327140614,0.989117161598467,0.0719541622211074,2.14304264340888e-116,1.46654216210231e-124,0.0203120933504116,0.0211339226919523,2.90093689891806e-117,6.21294604130204e-120,0.00254370985239941,0.00253811982223133,2.42920774427289e-117,8.40764457559867e-124
4.3,0.98422239260891,0.989180385048178,0.0717897551872621,2.1166014404336e-117,1.5925273239015e-123,0.0197750207946851,0.0205281083295133,2.78938731512397e-118,6.56828798745777e-119,0.00251425187475482,0.00250299442772597,2.37145092572591e-118,9.02418300417155e-123
4.325,0.984710171454427,0.989242878430248,0.0716239331839794,2.06968578529601e-118,1.71212822584549e-122,0.0192491410742247,0.0199360461999989,2.65502465100231e-119,6.87378568454841e-118,0.00248530247367465,0.00246845972780827,2.2921864499819e-119,9.59020206644472e-122
4.35,0.98518494180739,0.989304654312944,0.0714567077610169,2.0036727955269e-119,1.8223959296452e-121,0.0187343186761169,0.019357551176251,2.50159782418461e-120,7.1208032299482e-117,0.00245685001346346,0.00243450278182892,2.19367213122056e-120,1.00909859119414e-120
4.375,0.985646978391198,0.989365724977798,0.071288090546443,1.92046431436275e-120,1.92046431436275e-120,0.0182304165880961,0.0187924362173963,2.33321962110098e-121,7.3021572212611e-116,0.00242888318917511,0.00240111100980289,2.0786393407146e-121,1.05129618743914e-119
4.4,0.986096552486501,0.989426102427738,0.0711180932452925,1.82239592964458e-121,2.00367279552758e-119,0.0177372964231157,0.018240512557984,2.15418474496851e-122,7.41246354499982e-115,0.00240139101539871,0.00236827218029912,1.95016739008733e-122,1.08443094473611e-118
4.425,0.986533931898364,0.989485798394934,0.0709467276382163,1.7121282258449e-122,2.06968578529672e-118,0.0172548185416377,0.0177015898931584,1.96879033573402e-123,7.4484028605454e-114,0.00237436281548547,0.00233597439880296,1.81154714611696e-123,1.10755096017847e-117
4.45,0.98695938092646,0.989544824348395,0.0707740055801241,1.59252732390096e-123,2.11660144043432e-117,0.0167828421715887,0.0171754765597842,1.7811692476734e-124,7.40888651607032e-113,0.00234778821119673,0.00230420609653017,1.66614226787358e-124,1.11997988749565e-116
4.475,0.98737316033823,0.989603191501299,0.0705999389988216,1.46654216210181e-124,2.14304264340949e-116,0.0163212255259352,0.0166619797134494,1.59514477056412e-125,7.29511132481747e-112,0.00232165711275461,0.00227295601967264,1.51725614100613e-125,1.12134980171975e-115
4.5,0.987775527344955,0.989660910818083,0.0704245398936415,1.33708577671778e-125,2.14822414600824e-115,0.0158698259178337,0.0161609055012776,1.41411333364632e-126,7.11049935622168e-111,0.00229595970927729,0.00224221321905679,1.36801167402971e-126,1.1116192914521e-114
4.525,0.988166735580673,0.989717993021305,0.0702478203340696,1.206927103082e-126,2.13199130771091e-114,0.0154284998733159,0.0156720592304894,1.24095926748359e-127,6.8605269681197e-110,0.00227068645958225,0.00221196704019684,1.22124973405041e-127,1.09107553730479e-113
4.55,0.988547035083885,0.989774448598271,0.0700697924583646,1.07859863474995e-127,2.09482776218968e-113,0.0149971032414726,0.0151952455326595,1.07800315731276e-128,6.55245499816133e-109,0.00224582808334115,0.00218220711372544,1.07945028763606e-128,1.06032023102983e-112
4.575,0.98891667228198,0.98983028780745,0.0698904684721735,9.54323784040161e-129,2.03783148158474e-112,0.0145754913021028,0.0147302685236232,9.26982927370322e-130,6.19497865967732e-108,0.00222137555257124,0.00215292334618576,9.4467844804567e-130,1.02024029881228e-111
4.6,0.989275889978324,0.989885520684681,0.0697098606471419,8.35966134363093e-130,1.96266089152053e-111,0.0141635188708006,0.0142769319589919,7.89064736530167e-131,5.79782068116202e-107,0.00219732008344875,0.00212410591116918,8.18555783343901e-131,9.71965416670476e-111
4.625,0.989624927341942,0.989940157049176,0.0695279813195191,7.2500111742061e-131,1.87145472690002e-110,0.0137610404014522,0.0138350393852455,6.64879176256495e-132,5.37129419597738e-106,0.00217365312843025,0.00209574524078402,7.02255563337245e-132,9.16815157403348e-110
4.65,0.989964019899726,0.989994206509335,0.0693448428887599,6.2250912640137e-132,1.76673103170418e-109,0.0133679100861241,0.0134043942863753,5.54577217012235e-133,4.92586264842978e-105,0.00215036636866905,0.00206783201744121,5.96519237312929e-133,8.56239216818007e-109
4.675,0.990293399531114,0.990047678468365,0.0691604578161206,5.29187802012058e-133,1.65127195255336e-108,0.0129839819523204,0.0129848002260564,4.57899862920039e-134,4.47172257681802e-104,0.0021274517067139,0.00204035716594337,5.01690419047926e-134,7.91754487329665e-108
4.7,0.990613294465161,0.990100582129735,0.0689748386232521,4.45380278250197e-134,1.52800166175288e-107,0.0126091099575972,0.0125760609853368,3.74255507125724e-135,4.01843181333933e-103,0.00210490125947806,0.00201331184586474,4.17762046669078e-135,7.24882763875765e-107
4.725,0.990923929279951,0.990152926502443,0.0687879978907891,3.71115586539472e-135,1.39986483465347e-106,0.01224314808152,0.0121779806958351,3.02799450334054e-136,3.57460082419947e-102,0.00208270735146758,0.00198668744420964,3.44432176983883e-136,6.57092594586108e-106
4.75,0.991225524904262,0.990204720406128,0.0685999482569349,3.06157189456776e-136,1.2697126211301e-105,0.0118859504149569,0.0117903639684445,2.42510843363437e-137,3.14765913348536e-101,0.00206086250825757,0.00196047556833794,2.81164025635504e-137,5.89748267661453e-105
4.775,0.99151829862144,0.990255972476014,0.0684107024160438,2.50055715263734e-137,1.14020206796074e-104,0.0115373712467013,0.0114130160175469,1.92263320288652e-138,2.74370261177458e-100,0.00203935945020646,0.00193466803914649,2.27246308386366e-138,5.24068218030028e-104
4.8,0.991802464075404,0.990306691167706,0.0682202731171998,2.02202333501584e-138,1.01371358660648e-103,0.0111972651474214,0.0110457427807471,1.50886682831632e-139,2.36742142938832e-99,0.00201819108639819,0.00190925688449598,1.81850591856991e-139,4.61094317252814e-103
4.825,0.992078231278711,0.990356884761836,0.0680286731627923,1.61879776616712e-139,8.92289465018862e-103,0.0108654870509379,0.0106883510341399,1.17218073764438e-140,2.02210316460837e-98,0.00199735050880303,0.00188423433287307,1.4408313614846e-140,4.01672656702344e-102
4.85,0.992345806622627,0.990406561368561,0.0678359154070897,1.28308694088332e-140,7.7759474822386e-102,0.010541892332832,0.0103406485031319,9.01420533217387e-142,1.70970129227389e-97,0.00197683098664804,0.00185959280727839,1.13029523483868e-141,3.46445621954511e-101
4.875,0.992605392889119,0.990455728931926,0.0676420127548097,1.00687748207736e-141,6.70900209141757e-101,0.0102263368863907,0.0100024439688404,6.86198097045529e-143,1.43095628906471e-96,0.00195662596098852,0.00183532491933111,8.77911447064563e-143,2.95854348922868e-100
4.9,0.992857189264729,0.9905043952341,0.0674469781596878,7.82265590008772e-143,5.73085725259915e-100,0.00991867719589764,0.00967354737010041,5.17083606035918e-144,1.18555496089231e-95,0.00193672903947251,0.00181142346358137,6.75133041897243e-144,2.50150096161639e-99
4.925,0.993101391356227,0.990552567899468,0.067250824623044,6.01712288535988e-144,4.84661263094099e-99,0.00961877040728156,0.00935376990111208,3.85710289848316e-145,9.72313270584778e-95,0.00191713399129031,0.00178788141202226,5.14052671310263e-145,2.09412690221046e-98
4.95,0.993338191208017,0.990600254398615,0.067053565192347,4.5822690996906e-145,4.05801907235386e-98,0.00932647439613492,0.00904292410476784,2.84807143354023e-146,7.89368753129061e-94,0.00189783474230169,0.0017646919087934,3.87529934297576e-146,1.73574009373248e-97
