xs,containment_like,contraction_like,compromise_like,normal_prior,normal_post_containment,normal_post_contraction,normal_post_compromise,unif_prior,unif_post_containment,unif_post_contraction,unif_post_compromise
-5.775,0.0238200885279643,5.09266759904838e-64,0,0.00308589410966619,0.0010629036547461,1.04731936886402e-65,0,0,0,0,0
-5.75,0.0240057114821735,2.80167285372743e-63,0,0.00319906015536178,0.00111046915147773,5.97300136763246e-65,0,0,0,0,0
-5.725,0.0241921761295862,1.52597201446011e-62,0,0.00331585808800059,0.00115995296863718,3.37205997015596e-64,0,0,0,0,0
-5.7,0.0243794796487398,8.22872921211491e-62,0,0.00343638334530699,0.00121142225296015,1.88446103460794e-63,0,0,0,0,0
-5.675,0.0245676191331333,4.39314996006763e-61,0,0.00356073306292328,0.00126494603351694,1.04248119768788e-62,0,0,0,0,0
-5.65,0.0247565915908612,2.32207552261175e-60,0,0.0036890060743234,0.00132059525408868,5.70871676501088e-62,0,0,0,0,0
-5.625,0.0249463939442545,1.21516067951597e-59,0,0.0038213029093732,0.00137844280520387,3.09455323683036e-61,0,0,0,0,0
-5.6,0.0251370230295297,6.29575951910658e-59,0,0.00395772579148998,0.0014385635557848,1.66052958358933e-60,0,0,0,0,0
-5.575,0.0253284755964467,3.22938340126427e-58,0,0.0040983786333533,0.00150103438435126,8.82032266558389e-60,0,0,0,0,0
-5.55,0.025520748307974,1.64001621433338e-57,0,0.00424336703111937,0.00156593420972782,4.63779475412632e-59,0,0,0,0,0
-5.525,0.0257138377399626,8.24581771834005e-57,0,0.00439279825709103,0.00163334402119859,2.4139472403994e-58,0,0,0,0,0
-5.5,0.0259077403808288,4.10465229116761e-56,0,0.00454678125079553,0.00170334690805223,1.24375035978735e-57,0,0,0,0,0
-5.475,0.0261024526312448,2.02290772175023e-55,0,0.00470542660842213,0.00177602808845786,6.34348418674241e-57,0,0,0,0,0
-5.45,0.0262979708038383,9.87035620626294e-55,0,0.004868846570572,0.00185147493761113,3.20266637734838e-56,0,0,0,0,0
-5.425,0.0264942911229014,4.76811405111683e-54,0,0.00503715500827289,0.00192977701508781,1.60060708879787e-55,0,0,0,0,0
-5.4,0.026691409724107,2.28043395637671e-53,0,0.00521046740721131,0.0020110260913408,7.91857379149317e-55,0,0,0,0,0
-5.375,0.0268893226542363,1.07980520983543e-52,0,0.00538890085013545,0.00209531617327477,3.87791599553535e-54,0,0,0,0,0
-5.35,0.027088025870913,5.06209618641915e-52,0,0.00557257399738241,0.00218274352883087,1.8799185036703e-53,0,0,0,0,0
-5.325,0.027287515242349,2.34948362651104e-51,0,0.00576160706548349,0.00227340671051281,9.0212941716339e-53,0,0,0,0,0
-5.3,0.0274877865470976,1.07962145775538e-50,0,0.0059561218038026,0.00236740657778359,4.28536544786857e-52,0,0,0,0,0
-5.275,0.0276888354738173,4.91165266890835e-50,0,0.0061562414691626,0.00246484631826103,2.01509756947632e-51,0,0,0,0,0
-5.25,0.0278906576210447,2.21228381993777e-49,0,0.00636209079841572,0.00256583146763866,9.37979812379078e-51,0,0,0,0,0
-5.225,0.0280932484969772,9.86531810352248e-49,0,0.0065737959789148,0.00267046992825725,4.32195360238568e-50,0,0,0,0,0
-5.2,0.0282966035192648,4.35550382131113e-48,0,0.00679148461684282,0.00277887198625061,1.97131445209636e-49,0,0,0,0,0
-5.175,0.0285007180148131,1.90380630120837e-47,0,0.00701528570335945,0.00289115032718849,8.9006332849106e-49,0,0,0,0,0
-5.15,0.0287055872195948,8.23880408963643e-47,0,0.00724532957852424,0.00300742005013785,3.97809460348946e-48,0,0,0,0,0
-5.125,0.0289112062784719,3.52990198983793e-46,0,0.00748174789295697,0.0031277986800626,1.76002364536524e-47,0,0.0972762645914397,0.0439230512947056,3.52990198983793e-46,0
-5.1,0.0291175702450285,1.49733223195405e-45,0,0.00772467356719759,0.00325240617848116,7.70816663545969e-47,0,0.0972762645914397,0.0442365676177929,1.49733223195405e-45,0
-5.075,0.0293246740814131,6.28826383442319e-45,0,0.00797424074872837,0.00338136495229967,3.34174174242222e-46,0,0.0972762645914397,0.0445512079804686,6.28826383442319e-45,0
-5.05,0.0295325126581913,2.61457071012761e-44,0,0.00823058476662364,0.0035147998607383,1.43411463948995e-45,0,0.0972762645914397,0.0448669645898926,2.61457071012761e-44,0
-5.025,0.0297410807542095,1.07628449425706e-43,0,0.00849384208379276,0.00365283822026693,6.09233886355531e-45,0,0.0972762645914397,0.0451838295138813,1.07628449425706e-43,0
-5,0.0299503730564688,4.38642623755588e-43,0,0.00876415024678427,0.00379560980746567,2.56196640309958e-44,0,0.0972762645914397,0.0455017946807157,4.38642623755588e-43,0
-4.975,0.0301603841600091,1.76991183332652e-42,0,0.00904164783312071,0.00394324685972546,1.06647825740188e-43,0,0.0972762645914397,0.0458208518789665,1.76991183332652e-42,0
-4.95,0.030371108567805,7.07048964101441e-42,0,0.00932647439613496,0.0040958840737028,4.39460431712206e-43,0,0.0972762645914397,0.0461409927573344,7.07048964101441e-42,0
-4.925,0.0305825406906713,2.79643289988275e-41,0,0.00961877040728158,0.00425365860144288,1.79257257148511e-42,0,0.0972762645914397,0.0464622088245077,2.79643289988275e-41,0
-4.9,0.0307946748471803,1.0950056769422e-40,0,0.00991867719589768,0.00441671004408447,7.23807222629757e-42,0,0.0972762645914397,0.0467844914490358,1.0950056769422e-40,0
-4.875,0.0310075052635894,4.24507525566086e-40,0,0.0102263368863907,0.00458518044306013,2.8930655557413e-41,0,0.0972762645914397,0.0471078318592203,4.24507525566086e-40,0
-4.85,0.0312210260737806,1.62933907101116e-39,0,0.0105418923328321,0.00475921426870492,1.14467667574552e-40,0,0.0972762645914397,0.0474322211430221,1.62933907101116e-39,0
-4.825,0.0314352313192105,6.19148186518509e-39,0,0.010865487050938,0.00493895840618685,4.48328749367401e-40,0,0.0972762645914397,0.0477576502479854,6.19148186518509e-39,0
-4.8,0.0316501149488716,2.32935023989473e-38,0,0.0111972651474215,0.00512456213867272,1.73819918279049e-39,0,0.0972762645914397,0.0480841099811797,2.32935023989473e-38,0
-4.775,0.0318656708192651,8.67624960104327e-38,0,0.0115373712467013,0.00531617712764283,6.67101151513498e-39,0,0.0972762645914397,0.0484115910091581,8.67624960104327e-38,0
-4.75,0.0320818926943854,3.19953110280272e-37,0,0.0118859504149569,0.00551395739026883,2.53438760489335e-38,0,0.0972762645914397,0.0487400838579334,3.19953110280273e-37,0
-4.725,0.0322987742457154,1.16814751754727e-36,0,0.01224314808152,0.00571805927376946,9.53111211309319e-38,0,0.0972762645914397,0.0490695789129715,1.16814751754727e-36,0
-4.7,0.0325163090522341,4.22246540098133e-36,0,0.0126091099575972,0.00592864142665936,3.54816099216086e-37,0,0.0972762645914397,0.0494000664192025,4.22246540098133e-36,0
-4.675,0.0327344906004351,1.51109428845973e-35,0,0.0129839819523205,0.00614586476680751,1.30753177778123e-36,0,0.0972762645914397,0.0497315364810494,1.51109428845973e-35,0
-4.65,0.0329533122843577,5.35394719701753e-35,0,0.0133679100861241,0.00636989244622236,4.76969254044002e-36,0,0.0972762645914397,0.0500639790624744,5.35394719701753e-35,0
-4.625,0.0331727674056291,1.87807814319006e-34,0,0.0137610404014522,0.00660088981248223,1.72233534374693e-35,0,0.0972762645914397,0.050397383987044,1.87807814319006e-34,0
-4.6,0.0333928491735187,6.52244293935877e-34,0,0.0141635188708006,0.00683902436673071,6.15650504000297e-35,0,0.0972762645914397,0.0507317409380109,6.52244293935877e-34,0
-4.575,0.0336135507050044,2.24266277052163e-33,0,0.0145754913021029,0.00708446571815834,2.17841170354306e-34,0,0.0972762645914397,0.0510670394584148,2.24266277052163e-33,0
-4.55,0.0338348650248508,7.63439653854759e-33,0,0.0149971032414727,0.00733738553489363,7.63018170761903e-34,0,0.0972762645914397,0.0514032689512018,7.63439653854759e-33,0
-4.525,0.0340567850656999,2.57301613385448e-32,0,0.015428499873316,0.00759795749122819,2.64556840967271e-33,0,0.0972762645914397,0.0517404186793608,2.57301613385448e-32,0
-4.5,0.034279303668173,8.58553494265224e-32,0,0.0158698259178337,0.0078663572111028,9.08013505961743e-33,0,0.0972762645914397,0.0520784777660801,8.58553494265224e-32,0
-4.475,0.0345024135809861,2.8362810673713e-31,0,0.0163212255259352,0.00814276220778363,3.0849975059587e-32,0,0.0972762645914397,0.0524174351949212,2.8362810673713e-31,0
-4.45,0.0347261074610763,9.27658710902486e-31,0,0.0167828421715888,0.00842735181965971,1.03754399902442e-31,0,0.0972762645914397,0.0527572798100119,9.27658710902486e-31,0
-4.425,0.0349503778737415,3.00389150899874e-30,0,0.0172548185416378,0.00872030714209619,3.45419956475032e-31,0,0.0972762645914397,0.0530980003162577,3.00389150899874e-30,0
-4.4,0.0351752172927921,9.63024452735789e-30,0,0.0177372964231157,0.00902181095527982,1.13835448783058e-30,0,0.0972762645914397,0.0534395852795729,9.63024452735789e-30,0
-4.375,0.0354006181007149,3.05666216463488e-29,0,0.0182304165880961,0.00933204764799644,3.7136145067968e-30,0,0.0972762645914397,0.0537820231271294,3.05666216463488e-29,0
-4.35,0.0356265725888503,9.60538160003428e-29,0,0.0187343186761169,0.00965120313728372,1.19923780792712e-29,0,0.0972762645914397,0.0541253021476257,9.60538160003428e-29,0
-4.325,0.0358530729575811,2.98840091035349e-28,0,0.0192491410742247,0.00997946478390477,3.83356649614885e-29,0,0.0972762645914397,0.054469410491574,2.98840091035349e-28,0
-4.3,0.0360801113165346,9.20492283539301e-28,0,0.0197750207946851,0.0103170213035932,1.21308123972931e-28,0,0.0972762645914397,0.0548143361716071,9.20492283539301e-28,0
-4.275,0.036307679684797,2.80710397706468e-27,0,0.0203120933504117,0.0106640626740225,3.79984576191792e-28,0,0.0972762645914397,0.0551600670628044,2.80710397706468e-27,0
-4.25,0.0365357699911409,8.47527701403741e-27,0,0.0208604926281693,0.0110207800374575,1.17823317721247e-27,0,0.0972762645914397,0.0555065909030368,8.47527701403741e-27,0
-4.225,0.0367643740742651,2.53341512873228e-26,0,0.0214203507596113,0.0113873655990496,3.61647713163481e-27,0,0.0972762645914397,0.055853895293332,2.53341512873228e-26,0
-4.2,0.0369934836830475,7.49748960936745e-26,0,0.0219917979902136,0.0117640125207411,1.0988271854312e-26,0,0.0972762645914397,0.0562019676982579,7.49748960936745e-26,0
-4.175,0.0372230904768107,2.19675913272722e-25,0,0.0225749625461753,0.0121509148107502,3.30492999306764e-26,0,0.0972762645914397,0.0565507954463268,2.19675913272722e-25,0
